,TEAM_ID,TEAM_NAME,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,CFID,CFPARAMS,SEASON
28,1610612762,Utah Jazz,82,38,44,0.463,48.1,35.4,79.2,0.447,7.4,21.7,0.343,17.0,23.5,0.721,12.0,31.9,44.0,19.9,15.3,7.6,6.0,4.7,19.3,19.6,95.1,0.2,1,18,18,18,30,27,29,19,18,17,19,14,13,26,4,20,11,29,26,16,3,13,12,22,26,17,10,Utah Jazz,2014-15
29,1610612764,Washington Wizards,82,46,36,0.561,48.7,38.3,82.8,0.462,6.1,16.8,0.36,15.9,21.4,0.742,10.5,34.2,44.7,24.0,15.0,7.3,4.6,4.3,20.8,19.6,98.5,0.7,1,12,12,12,1,9,21,6,27,27,9,25,22,21,19,5,8,6,24,20,16,6,17,21,17,14,10,Washington Wizards,2014-15
30,1610612737,Atlanta Hawks,82,48,34,0.585,48.4,38.6,84.4,0.458,9.9,28.4,0.35,15.6,20.0,0.783,8.3,33.8,42.1,25.6,15.0,9.1,5.9,5.0,19.1,18.3,102.8,3.6,1,7,7,7,11,9,15,11,6,7,15,29,30,8,30,13,24,2,22,3,5,14,7,29,12,7,10,Atlanta Hawks,2015-16
31,1610612738,Boston Celtics,82,48,34,0.585,48.2,39.2,89.2,0.439,8.7,26.1,0.335,18.5,23.5,0.788,11.6,33.3,44.9,24.2,13.7,9.2,4.2,5.5,21.9,21.0,105.7,3.2,1,7,7,7,23,7,1,24,12,11,28,8,12,6,3,15,6,6,12,2,22,24,29,10,5,8,10,Boston Celtics,2015-16
32,1610612751,Brooklyn Nets,82,21,61,0.256,48.2,38.2,84.4,0.453,6.5,18.4,0.352,15.7,20.7,0.757,10.5,31.9,42.4,22.3,14.8,7.6,4.0,5.2,18.0,18.4,98.6,-7.4,1,28,28,28,26,17,17,13,26,27,13,27,27,18,14,25,23,15,19,19,25,18,2,28,26,28,10,Brooklyn Nets,2015-16
33,1610612766,Charlotte Hornets,82,48,34,0.585,48.4,37.0,84.4,0.439,10.6,29.4,0.362,18.7,23.7,0.79,9.0,35.0,43.9,21.7,12.5,7.3,5.3,5.5,18.1,20.4,103.4,2.7,1,7,7,7,9,24,16,27,4,4,8,7,11,5,28,4,14,19,1,22,12,21,3,14,11,9,10,Charlotte Hornets,2015-16
34,1610612741,Chicago Bulls,82,42,40,0.512,48.5,38.6,87.4,0.441,7.9,21.4,0.371,16.5,21.0,0.787,11.1,35.2,46.3,22.8,13.9,6.0,5.7,5.7,18.8,18.7,101.6,-1.5,1,14,14,14,3,11,2,22,21,24,3,23,26,7,9,3,3,12,13,29,8,27,5,26,21,18,10,Chicago Bulls,2015-16
35,1610612739,Cleveland Cavaliers,82,57,25,0.695,48.4,38.7,84.0,0.46,10.7,29.6,0.362,16.3,21.7,0.748,10.6,33.9,44.5,22.7,13.6,6.7,3.9,4.4,20.3,20.6,104.3,6.0,1,3,3,3,9,8,19,10,2,3,7,26,24,21,12,11,9,13,10,28,27,7,14,12,8,4,10,Cleveland Cavaliers,2015-16
36,1610612742,Dallas Mavericks,82,42,40,0.512,48.8,37.4,84.1,0.444,9.8,28.6,0.344,17.7,22.3,0.794,9.2,33.9,43.1,22.1,12.8,6.8,3.7,4.4,19.5,21.4,102.3,-0.3,1,14,14,14,1,22,18,20,7,5,23,12,21,3,26,9,19,18,2,26,29,8,8,8,16,16,10,Dallas Mavericks,2015-16
37,1610612743,Denver Nuggets,82,33,49,0.402,48.4,37.7,85.4,0.442,8.0,23.7,0.338,18.5,24.1,0.766,11.5,33.1,44.6,22.7,14.7,7.4,4.8,6.3,21.0,20.9,101.9,-3.1,1,21,21,21,11,21,12,21,20,18,26,10,10,14,6,19,8,14,18,20,16,30,23,11,20,23,10,Denver Nuggets,2015-16
38,1610612765,Detroit Pistons,82,44,38,0.537,48.5,37.9,86.4,0.439,9.0,26.2,0.345,17.1,25.5,0.668,12.5,33.9,46.3,19.4,13.5,7.0,3.7,4.5,19.0,21.6,102.0,0.6,1,12,12,12,5,18,5,25,10,10,22,20,5,30,2,11,2,27,9,24,30,9,6,5,19,14,10,Detroit Pistons,2015-16
39,1610612744,Golden State Warriors,82,73,9,0.89,48.5,42.5,87.3,0.487,13.1,31.6,0.416,16.7,21.8,0.763,10.0,36.2,46.2,28.9,15.2,8.4,6.1,4.1,20.7,19.8,114.9,10.8,1,1,1,1,5,1,3,1,1,1,1,22,23,16,21,1,4,1,24,9,2,3,19,19,1,1,10,Golden State Warriors,2015-16
40,1610612745,Houston Rockets,82,41,41,0.5,48.4,37.7,83.5,0.452,10.7,30.9,0.347,20.4,29.4,0.694,11.3,31.7,43.1,22.2,15.9,10.0,5.2,4.9,21.8,22.5,106.5,0.2,1,17,17,17,11,20,23,14,3,2,19,3,1,27,7,27,20,16,27,1,13,13,28,1,4,15,10,Houston Rockets,2015-16
